"pathway","pval","padj","NES","size"
"REACTOME_RRNA_PROCESSING",1.01145908344799e-16,4.02560715212301e-14,-2.436722742695,202
"REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL",8.71718219014531e-12,1.57811800058115e-09,-2.66100674828418,59
"WALLACE_PROSTATE_CANCER_RACE_UP",1.18953618134258e-11,1.57811800058115e-09,2.10315794893525,201
"BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_UP",1.27482200893127e-06,0.000101475831910929,1.77008727922857,275
"CONCANNON_APOPTOSIS_BY_EPOXOMICIN_DN",1.0611109294478e-06,0.000101475831910929,-1.89319349493279,134
"AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP",3.36606875441498e-06,0.000223282560709527,1.95486582539115,91
"LIU_PROSTATE_CANCER_DN",1.39976470468306e-05,0.000795866217805514,1.57584839201783,372
"WIERENGA_STAT5A_TARGETS_DN",2.02726463750536e-05,0.00100856415715892,1.75277803561521,157
"KEGG_RIBOSOME",6.84683342542751e-05,0.00302782189257794,-1.87201287597848,84
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53",0.000117072722409848,0.00388291195992664,-1.42408114723743,344
"TANG_SENESCENCE_TP53_TARGETS_DN",9.95518501900367e-05,0.00388291195992664,-2.0166456573513,49
"WP_TYPE_I_COLLAGEN_SYNTHESIS_IN_THE_CONTEXT_OF_OSTEOGENESIS_IMPERFECTA",0.000114994641564536,0.00388291195992664,1.94990458997988,28
"BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE",0.00012693674992647,0.00388621742082579,1.85325852182145,56
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G2_CELL_CYCLE_ARREST",0.000159820819060588,0.00454347757043672,-2.11473044359319,18
"TIAN_TNF_SIGNALING_VIA_NFKB",0.000323789834342726,0.00805427212927531,-2.02423329164478,22
"WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION",0.000320340916474369,0.00805427212927531,1.88842727882985,22
"WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS",0.000432305143299801,0.0101210262960777,-1.6777243766842,86
"SCIAN_CELL_CYCLE_TARGETS_OF_TP53_AND_TP73_DN",0.000584026242855744,0.0129134691475881,-1.9781282828751,22
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES",0.000705496112021814,0.0147782869781412,-1.82160957581273,47
"JAIN_NFKB_SIGNALING",0.000845761712203823,0.0168306580728561,-1.68697539337032,70
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",0.000926892359353529,0.0175668170963193,1.75914414569805,55
"HECKER_IFNB1_TARGETS",0.00130893594638543,0.0200367887177462,1.71363859466585,56
"NABA_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER",0.00122010430682993,0.0200367887177462,1.79645258460883,31
"NABA_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR",0.00121124846998646,0.0200367887177462,1.79001315554167,40
"REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL",0.00118504241184175,0.0200367887177462,-1.55100533186314,141
"TIAN_TNF_SIGNALING_NOT_VIA_NFKB",0.00130087979574954,0.0200367887177462,-1.89355888452635,20
"SANA_RESPONSE_TO_IFNG_UP",0.00178194654336989,0.0262672120096747,1.76288716380323,47
"KEGG_JAK_STAT_SIGNALING_PATHWAY",0.00195034731892741,0.0272235291987033,1.59126975636485,93
"RIGGI_EWING_SARCOMA_PROGENITOR_UP",0.00198362398684019,0.0272235291987033,1.43111147587869,308
"MOSERLE_IFNA_RESPONSE",0.0020620279991264,0.0273562381217435,1.7484085965159,16
"REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE",0.00216012289280503,0.027733190688271,-1.52962073009213,101
"ZHANG_ANTIVIRAL_RESPONSE_TO_RIBAVIRIN_DN",0.00224139540565138,0.027877355357789,-1.74203968022319,38
"WP_SARS_CORONAVIRUS_AND_INNATE_IMMUNITY",0.00242455151532627,0.0292415606999956,1.7822589924897,15
"TOMLINS_PROSTATE_CANCER_DN",0.00271219282298811,0.0317486101043903,1.7051688556477,35
