"pathway","pval","padj","NES","size"
"HALLMARK_MYC_TARGETS_V1",6.97679655041968e-30,3.48839827520984e-28,-2.98094537212334,194
"HALLMARK_E2F_TARGETS",2.24316272091074e-20,5.60790680227686e-19,-2.63566171963973,198
"HALLMARK_G2M_CHECKPOINT",2.25411212966355e-17,3.75685354943925e-16,-2.52219019190351,193
"HALLMARK_MYC_TARGETS_V2",5.4238203051991e-12,6.77977538149887e-11,-2.67321851174765,57
"HALLMARK_HEME_METABOLISM",3.6909884800392e-07,3.6909884800392e-06,-1.84246190612449,187
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",5.29467479971138e-07,4.41222899975949e-06,1.91540749673035,151
"HALLMARK_COAGULATION",6.4250898036815e-07,4.5893498597725e-06,2.04265750736555,97
"HALLMARK_INTERFERON_GAMMA_RESPONSE",7.17137425576935e-06,4.48210890985584e-05,1.83456945874659,155
"HALLMARK_ALLOGRAFT_REJECTION",8.77941458674807e-06,4.87745254819337e-05,1.88212386098651,123
"HALLMARK_COMPLEMENT",1.283414874461e-05,6.417074372305e-05,1.80411477155469,151
"HALLMARK_INTERFERON_ALPHA_RESPONSE",4.40289917673101e-05,0.0002001317807605,1.89101954316636,80
"HALLMARK_UV_RESPONSE_UP",5.65007204069029e-05,0.000235419668362095,-1.73473381161282,143
"HALLMARK_PROTEIN_SECRETION",0.000237441839867599,0.000913237845644613,1.7750609182783,93
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00160752140450974,0.00574114787324909,-1.42733126402243,168
"HALLMARK_APICAL_JUNCTION",0.00249701857347571,0.00832339524491905,1.55419989474803,159
"HALLMARK_INFLAMMATORY_RESPONSE",0.00333547157588505,0.00981021051730897,1.52205856959779,132
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.00320883682951552,0.00981021051730897,-1.3756225611901,185
"HALLMARK_KRAS_SIGNALING_UP",0.0047254302753606,0.013126195209335,1.5362040066121,149
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.00536666425807984,0.0141228006791575,-1.6366001002984,47
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.0115595727457522,0.0288989318643805,-1.35065437897238,158
"HALLMARK_DNA_REPAIR",0.0175372473171669,0.0398573802662885,-1.33778367602438,147
"HALLMARK_PANCREAS_BETA_CELLS",0.0171853807477924,0.0398573802662885,-1.59817703119315,23
"HALLMARK_APOPTOSIS",0.0221426893762035,0.0481362812526163,1.3770281754237,135
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0354589738030466,0.0738728620896805,1.44501632463295,64
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0383091149273448,0.0766182298546896,1.42399361083383,69
"HALLMARK_ADIPOGENESIS",0.0625718418448172,0.115873781194106,-1.16905747956633,186
"HALLMARK_MYOGENESIS",0.0603864734299517,0.115873781194106,1.28693328091144,150
"HALLMARK_ANGIOGENESIS",0.0727554179566563,0.129920389208315,1.41874564375224,27
"HALLMARK_MTORC1_SIGNALING",0.137209302325581,0.228682170542636,1.19682372301647,192
"HALLMARK_SPERMATOGENESIS",0.136752136752137,0.228682170542636,-1.20074602873074,89
"HALLMARK_BILE_ACID_METABOLISM",0.146437994722955,0.236190314069283,1.23145325210435,79
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.159949622166247,0.245445105258189,1.20119719624752,107
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.161993769470405,0.245445105258189,-1.21438313723762,38
"HALLMARK_P53_PATHWAY",0.169431279620853,0.249163646501255,1.17720406099189,180
"HALLMARK_IL2_STAT5_SIGNALING",0.215827338129496,0.308324768756423,1.13856519313286,166
"HALLMARK_HYPOXIA",0.260047281323877,0.361176779616496,1.11518580782231,177
"HALLMARK_APICAL_SURFACE",0.268476621417798,0.36144578313253,1.14391579122429,34
"HALLMARK_XENOBIOTIC_METABOLISM",0.274698795180723,0.36144578313253,1.10431639384964,146
"HALLMARK_HEDGEHOG_SIGNALING",0.299079754601227,0.383435582822086,1.12136195546276,33
"HALLMARK_UV_RESPONSE_DN",0.365792759051186,0.457240948813983,1.04562108596214,131
"HALLMARK_PEROXISOME",0.436456996148909,0.532264629449889,0.996282306870572,93
"HALLMARK_GLYCOLYSIS",0.456057007125891,0.542925008483203,1.00938396696371,183
"HALLMARK_MITOTIC_SPINDLE",0.526132404181185,0.611781865326959,0.97966151241715,193
"HALLMARK_FATTY_ACID_METABOLISM",0.557071960297767,0.63303631852019,0.949835303105883,134
"HALLMARK_ANDROGEN_RESPONSE",0.630630630630631,0.700700700700701,0.910608034203858,91
"HALLMARK_KRAS_SIGNALING_DN",0.675914249684741,0.717037671232877,0.901529545059208,108
"HALLMARK_NOTCH_SIGNALING",0.670769230769231,0.717037671232877,0.842572668393698,29
"HALLMARK_TGF_BETA_SIGNALING",0.688356164383562,0.717037671232877,-0.877111256325807,52
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.741973840665874,0.757116163944769,0.873621872625208,171
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.847938144329897,0.847938144329897,0.802344498032857,97
