"pathway","pval","padj","NES","size"
"HALLMARK_HEME_METABOLISM",1.65451583245508e-13,8.2725791622754e-12,-2.32323601566754,187
"HALLMARK_COAGULATION",7.69537611265311e-06,0.000192384402816328,2.05225415065086,97
"HALLMARK_PROTEIN_SECRETION",6.00536778168964e-05,0.00100089463028161,1.91366872646375,93
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.000191437498720223,0.00239296873400278,1.7347173759046,151
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.000289602681456217,0.00289602681456217,1.72302339478178,155
"HALLMARK_COMPLEMENT",0.000875781464901295,0.00660607424838694,1.65567519631359,151
"HALLMARK_FATTY_ACID_METABOLISM",0.000924850394774172,0.00660607424838694,1.66545412588438,134
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.00213618774710461,0.0133511734194038,1.72242377809785,80
"HALLMARK_G2M_CHECKPOINT",0.00995591346587775,0.0553106303659875,-1.36658361478582,193
"HALLMARK_XENOBIOTIC_METABOLISM",0.0179271347692871,0.0896356738464354,1.40321010844972,146
"HALLMARK_DNA_REPAIR",0.0286001047538817,0.130000476154008,1.34742869768738,147
"HALLMARK_MYOGENESIS",0.0349944685422133,0.145810285592555,1.367405270795,150
"HALLMARK_BILE_ACID_METABOLISM",0.0497335701598579,0.165778567199526,1.3669011654477,79
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.0431115494360782,0.165778567199526,-1.32413232864057,158
"HALLMARK_PEROXISOME",0.049469964664311,0.165778567199526,1.34797100114587,93
"HALLMARK_KRAS_SIGNALING_UP",0.0649789737708961,0.188916876574307,1.32809202512328,149
"HALLMARK_MTORC1_SIGNALING",0.0676691729323308,0.188916876574307,-1.24221571699297,192
"HALLMARK_MYC_TARGETS_V1",0.0680100755667506,0.188916876574307,-1.2290025319643,194
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0728155339805825,0.191619826264691,-1.24230819370074,171
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.0785953177257525,0.196488294314381,1.22653836454358,185
"HALLMARK_UV_RESPONSE_DN",0.0856481481481482,0.203924162257496,-1.22833739823682,131
"HALLMARK_ALLOGRAFT_REJECTION",0.113074204946996,0.237668161434978,1.22044286617631,123
"HALLMARK_ANGIOGENESIS",0.112903225806452,0.237668161434978,1.31714254557211,27
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.118834080717489,0.237668161434978,-1.26946068102557,69
"HALLMARK_GLYCOLYSIS",0.118072289156627,0.237668161434978,-1.18445096727574,183
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.134419551934827,0.258499138336206,-1.25714297127334,38
"HALLMARK_TGF_BETA_SIGNALING",0.16414686825054,0.303975681945444,-1.20387509440475,52
"HALLMARK_APOPTOSIS",0.175438596491228,0.31328320802005,1.15854544721921,135
"HALLMARK_ADIPOGENESIS",0.216417910447761,0.369018653690187,-1.10245933014887,186
"HALLMARK_HYPOXIA",0.221411192214112,0.369018653690187,-1.09743322129819,177
"HALLMARK_KRAS_SIGNALING_DN",0.230046948356808,0.371043465091625,-1.12601890533782,108
"HALLMARK_IL2_STAT5_SIGNALING",0.24384236453202,0.381003694581281,-1.09380825226512,166
"HALLMARK_UV_RESPONSE_UP",0.265882352941176,0.402852049910873,-1.07907184468725,143
"HALLMARK_ANDROGEN_RESPONSE",0.33175355450237,0.474201474201474,-1.06029225356902,91
"HALLMARK_E2F_TARGETS",0.345963756177924,0.474201474201474,1.04299591458828,198
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.350909090909091,0.474201474201474,1.05620342170755,64
"HALLMARK_MITOTIC_SPINDLE",0.343853820598007,0.474201474201474,1.05703710642733,193
"HALLMARK_APICAL_SURFACE",0.395752895752896,0.49469111969112,1.03529253656695,34
"HALLMARK_HEDGEHOG_SIGNALING",0.394683026584867,0.49469111969112,-1.04192077587591,33
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.387040280210158,0.49469111969112,1.03730298159388,97
"HALLMARK_APICAL_JUNCTION",0.559121621621622,0.665620978120978,0.963939848048515,159
"HALLMARK_MYC_TARGETS_V2",0.546617915904936,0.665620978120978,0.938796189187442,57
"HALLMARK_P53_PATHWAY",0.57843137254902,0.672594619243046,-0.950919284387373,180
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.669829222011385,0.745866974240677,0.869391028932918,47
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.671280276816609,0.745866974240677,0.894704930583292,107
"HALLMARK_INFLAMMATORY_RESPONSE",0.762910798122066,0.811607232044751,-0.87810281518004,132
"HALLMARK_PANCREAS_BETA_CELLS",0.760330578512397,0.811607232044751,-0.804797351740115,23
"HALLMARK_SPERMATOGENESIS",0.850088183421517,0.885508524397413,0.804388672926244,89
"HALLMARK_NOTCH_SIGNALING",0.879275653923541,0.897220055024022,-0.734047050898141,29
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.970223325062035,0.970223325062035,-0.764171597782236,168
