"","HEK293","K562","KMS34"
"ADNP",0.738847231202393,0.239143301766342,0.140449874272111
"AHR",-0.751694793272882,-0.149431284441042,-0.6452701203906
"AR",-1.34855144332474,0.220443927524803,0.558555907832338
"ARID2",-0.831912536684811,-1.48299764712329,-2.53467652263267
"ARID3A",0.0580344537475558,0.767809903016598,-0.513190681647406
"ARNT",-0.322534119158144,0.520321766937642,-0.737048368347234
"ASCL1",0.156833609796291,0.107209964586822,-0.996143398352452
"ATF1",-1.27093987517675,0.481349378541244,-0.200731696478307
"ATF2",-0.607729365282438,-1.07617886037251,-0.0186981753562242
"ATF3",3.05174658106441,-0.917400679682007,-0.981002943516115
"ATF4",3.73357571866264,3.54161067656834,-1.34763079067632
"ATF6",0.842157651139558,2.90568334702211,2.14101114042109
"ATF7",0.978906971081757,1.54736188367856,-0.672203422338049
"BACH1",-0.369775996073287,1.67269927672605,0.810642188756876
"BACH2",-0.527029560001258,0.774908124413563,-0.583313507464102
"BATF",-1.73265010282335,0.796717016810688,-0.497683404668563
"BCL11A",-1.8708203747022,0.00473453178055177,-1.51618152484537
"BCL6",-0.480294206678441,0.886264471696063,-0.0509462373561623
"BHLHE22",-0.297425118211414,0.916318183414983,0.353414181915158
"BHLHE40",1.04865289931992,-1.17259652242117,-1.79850983888137
"BMAL1",1.095053887404,-0.118688718445395,-0.716747170541572
"CDX2",-0.257056071621735,0.945328312135542,-0.211440192951934
"CEBPA",-0.958705494245892,1.02798664439132,-0.118142186148982
"CEBPB",-0.365207986846867,1.20393738567052,0.120285201455308
"CEBPD",0.422330866858451,0.974317743012567,-2.62606286225905
"CEBPE",1.50516716437652,1.62323911176838,2.28787306218178
"CEBPG",0.225514756135157,2.19011703752485,-0.168365982926436
"CLOCK",-0.262352140836241,0.659615604808215,-0.622641412810125
"CREB1",-0.44170950176991,-0.936462993241527,-1.53643408270853
"CREB3",0.83549073440009,0.443660082134498,-0.321144416575066
"CREB3L1",0.507634158371437,-0.727407897008243,0.958667832054557
"CREM",0.715248804555411,0.823647419774635,-0.143502455349822
"CTCF",-0.40101513184232,1.65250549625552,-0.278901113896365
"CTCFL",-1.23182989490427,-0.661276756217431,-1.33141680185206
"CUX1",-0.904834505876809,-1.47547776828648,-1.56466656319236
"DDIT3",1.14792027632755,-0.809201614234839,-0.742936696267806
"DEAF1",-0.701159315522611,-0.492229855018464,-1.55127747259512
"DUX4",-1.59714242854854,0.862477101842434,0.72183365455784
"E2F1",-1.29743536389211,-1.7803126909162,-1.35658735802154
"E2F2",-0.1664307216509,-2.6014288300029,-0.0996086388798275
"E2F3",-0.823772739684673,-2.87086296824666,-0.692709997876467
"E2F4",-0.240922192908864,-4.14792172011746,-1.27702921333001
"E2F5",0.444679295677774,1.10416320151871,-1.21947863061251
"E2F6",1.07101231186235,-1.15857758153362,-1.47316373426426
"E2F7",0.865095489400112,0.577014499219109,0.909575530196982
"EBF1",-1.16297078221219,1.18464232089182,-0.66233550968078
"EGR1",-0.302348772802878,-1.01855761980067,-1.76258714241842
"EHF",-0.184211864308045,1.51064369969957,0.47719046997764
"ELF1",-0.170470737590911,-0.0801464804187004,-0.37442652880164
"ELF3",-0.103667956733905,0.704748665540458,0.198181452806227
"ELF5",1.06949519038161,1.68444253930436,0.688209869563661
"ELK1",1.45068703570223,-0.644931007335555,-1.17882533007648
"ELK4",0.165710581935023,-0.0687380258954171,-0.902815455781842
"EOMES",-0.866705490807642,2.289499252226,0.192581845033602
"EPAS1",-2.80384328808157,-0.91852135371649,-1.68934216645044
"ERG",0.169713833852323,2.67079673116706,0.870434658631193
"ESR1",-1.04617034822963,1.53833310604925,0.245083408299512
"ESR2",1.48679834319049,1.06158222221197,-1.29580166670124
"ESRRA",0.533576756691311,1.15507522903199,0.319049617166377
"ETS1",0.100194792211225,2.01180952685027,-0.705664412780637
"ETS2",-0.882093429928388,-1.45340709712689,-1.0100856476043
